"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2016-03-14 07:44:03",367563930,41.80266,-73.94876,80.8,0.0,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 08:00:00",367594190,40.67095,-74.08557,175.2,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 08:00:04",367563930,41.80267,-73.94881,80.8,0.0,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 08:02:04",305599000,39.91649,-75.13423,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 08:02:13",367506050,40.67084,-74.08533,274.9,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 08:04:53",367587440,40.64170,-74.12074,335.8,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 08:04:55",366238710,41.28692,-72.90817,151.4,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 08:09:43",366695940,41.16173,-73.20718,215.0,5.6,511,7203302,"ZACHERY REINAUER","WCU4692",57,9,21,5,3,5.0,"BLACKROCK,CT.","03-14 04:00"
"2016-03-14 09:00:01",367594190,40.67094,-74.08559,187.2,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 09:02:01",305599000,39.91649,-75.13420,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 09:02:12",366238710,41.28703,-72.90807,206.2,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 09:02:15",367506050,40.67083,-74.08535,311.0,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
