DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA
2016-04-14 06:02:32,667001549,37.50901,17.52033,287.2,10.5,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,04-17 11:00
2016-04-14 06:02:35,356189000,36.51172,16.46565,91.0,12.2,511,9317779,SIDER DREAM,3FEW8,70,154,21,15,13,5.8,YUZHNYY,04-18 18:00
2016-04-14 06:04:41,246432000,36.49749,17.33412,96.0,11.8,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,04-17 12:00
2016-04-14 06:04:59,371024000,37.63370,16.43424,283.9,9.1,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,04-14 11:00
2016-04-14 06:04:59,255805806,37.58903,16.88841,287.0,15.6,511,9216365,JUDITH BORCHARD,CQAD,71,141,18,14,11,7.7,SALERNO,04-14 23:00
2016-04-14 06:32:30,477216000,36.39620,17.99118,91.0,14.1,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,04-16 07:00
2016-04-14 06:36:37,246739000,36.43488,18.00111,89.0,10.5,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,04-16 08:00
2016-04-14 06:38:12,636092576,36.48409,18.04591,274.5,11.8,511,9154854,MV VOGE RENATE,A8LO2,79,124,25,14,11,9.0,AVEIRO,04-19 06:00
2016-04-14 07:02:35,667001549,37.55358,17.30016,282.2,10.6,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,04-17 11:00
2016-04-14 07:02:39,356189000,36.49987,16.71503,90.0,12.1,511,9317779,SIDER DREAM,3FEW8,70,154,21,15,13,5.8,YUZHNYY,04-18 18:00
2016-04-14 07:03:03,372400000,37.39054,17.79886,284.4,19.3,511,9467421,MSC MARIA SAVERIA,3FLE8,71,146,220,32,16,10.8, GIOIA TAURO,04-14 17:00
2016-04-14 07:03:25,636017041,36.91912,17.95482,295.0,19.9,511,9108178,BOX CHINA,D5JA4,73,191,85,28,12,13.0,GIOIA TAURO,04-14 16:00
2016-04-14 07:04:40,246432000,36.48229,17.59704,93.0,12.0,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,04-17 12:00
2016-04-14 07:04:56,255805806,37.66213,16.59576,288.0,12.6,511,9216365,JUDITH BORCHARD,CQAD,71,141,18,14,11,7.7,SALERNO,04-14 23:00
2016-04-14 07:12:31,636092576,36.49065,17.90686,271.0,11.7,511,9154854,MV VOGE RENATE,A8LO2,79,124,25,14,11,9.0,AVEIRO,04-19 06:00
2016-04-14 08:02:32,667001549,37.59625,17.08940,284.5,10.8,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,04-17 11:00
2016-04-14 08:02:35,356189000,36.48937,16.96215,92.0,12.5,511,9317779,SIDER DREAM,3FEW8,70,154,21,15,13,5.8,YUZHNYY,04-18 18:00
2016-04-14 08:02:59,372400000,37.47897,17.40097,285.5,18.5,511,9467421,MSC MARIA SAVERIA,3FLE8,71,146,220,32,16,10.8, GIOIA TAURO,04-14 17:00
2016-04-14 08:04:40,636092576,36.49716,17.69398,274.0,11.6,511,9154854,MV VOGE RENATE,A8LO2,79,124,25,14,11,9.0,AVEIRO,04-19 06:00
